Card,strain/medium,Description,visual concept,Symbolism,Notes
,,,,, 
one of wands,Narnia,"Narnia, a strain produced by Soulshine Cannabis and developed by Advanced Growing Technologies, is the stimulating sativa-dominant cross of Jack Herer and Trainwreck. It has an incredibly fast onset, imbuing consumers with an amplified sense of their imaginations while promoting upbeat physical activity. This long-lasting strain has massive trichome production and a terpene profile rich with citrus tang, spice, and a touch of sweetness. Enjoy Narnia to enhance mood, encourage creativity, and nullify lethargy. ","An alien explorer stands at the edge of a vibrant, otherworldly forest, holding a wand emitting a bright, citrusy glow. The landscape around mirrors the imaginative vibe of the Narnia strain, with fantastical creatures and surreal, dream-like plant life.","This card symbolizes the beginning of a creative and energetic journey, much like the uplifting and imagination-enhancing effects of the Narnia strain. It suggests embarking on new ventures with enthusiasm and vigor.", 
two of wands,Biker-Leblanc,"A sativa-dominant hybrid rarely found nowadays, Biker Le’Blanc is a dense and resinous strain that combines Raskal’s The White with Hell’s Angel OG (Biker Kush cut). Leading with a skunky, earthy aroma typical of OG varieties, Biker Le’Blanc offers heavily relaxing effects that weigh the body down without causing too much cloudiness in the head. Its THC content is known to stretch to 23%, so proceed with caution if you’re sensitive to cannabis’ psychoactive effects.","An alien figure on a bike sits between two large wands crossed at the top, one emitting an earthy aura and the other a skunky mist. The backdrop is a distant view of a serene yet powerful landscape, suggesting contemplation and planning.","This card represents the decision-making phase in adventures or business ventures, influenced by Biker Le’Blanc’s calming yet mentally clear effects. It highlights foresight and the weighing of options for strategic planning.", 
three of wands,Pine-Queen-Dream,"Pine Queen Dream by Piranha Seeds is a deep cannabis cut combining esoteric genetics with familiar favorites. Created from Pine Queen Haze (a cross of Pursuang Haze and Pine Queen) and Blue Dream, this sativa-dominant hybrid offers consumers a potent cerebral high alongside a rich pine aroma. The flavor is also woodsy and herbal, with notes of spice from the strain’s latent Haze genetics. Its uplifting mental effects can help improve mood and nullify stress while the physical effects remain potent and persistent with continued consumption. This strain was produced for and is grown by Green Acres Pharm.  ","An alien at a high vantage point looks out over a bustling spaceport, holding a wand infused with a green, pine-scented haze. Ships come and go, symbolizing opportunities and trade.","Reflecting the uplifting and stress-nullifying effects of Pine Queen Dream, this card signifies expansion, exploration, and the realization of long-term goals. It suggests progress and forward movement on a successful path.", 
four of wands,Golden-Tiger,"Golden Tiger is a resinous flower created from two Thai strains and two separate Malawi cuts. Bred by Ace Seeds, this pure sativa flower is a complex blend of Koh Chang Thai and Hmong Thai crossed with Malawi and 3rd Generation Malawi. This powerful sativa is not for beginners, as it offers long-lasting stimulating effects often with a potent psychedelic bent. With a terpene profile that is bright with notes of floral spice and tart lemon, its vigorous physical and mental effects make this a sativa of the highest caliber. This strain’s long sativa lineage comes with a long 11 to 14 week flowering time.","Four wands form a canopy frame under which a celebration takes place. The scene is vibrant, with aliens of various species enjoying the energetic and slightly psychedelic effects, illustrated by colorful, swirling lights and floral decorations.","This card celebrates harmony and community, akin to the communal and celebratory effects of Golden Tiger. It embodies joy, satisfaction, and the successful completion of a communal project or personal milestone.", 
five of wands,Devil-Fruit,Devil Fruit is a 70% indica strain bred by Medical Seed Co. through crossing Shiskaberry and Great White Shark. This high-CBD Spanish strain is sweet and spicy in flavor and delivers a light cerebral stimulation followed by comfortable full-body effects. Outdoor Devil Fruit plants finish in the first half of October while indoor gardens flower in about 65 days.,"Five aliens engage in a spirited but friendly competition, each wielding a wand that emits a spicy, sweet mist. The scene is chaotic but playful, set in an arena-like environment that encourages testing one’s skills against others.","The Five of Wands represents challenges and minor conflicts, mirroring the light cerebral stimulation followed by relaxing effects of the Devil Fruit strain. It suggests facing challenges, personal struggles for improvement, or competition in a constructive manner.", 
six of wands,Emerald-Jack,"Two highly touted strains harmonize to form the flavorful, sativa-driven hybrid Emerald Jack. Jack Herer, with its amazing spectrum of earthy flavors and heady effects, combines with the pungent sour aromas of Emerald OG to give life to Emerald Jack’s unique terpene profile. Its aroma is a vivid mix of earthy and pine zest that excites the senses and forms flavors of skunky citrus upon exhale. The resulting effects are uplifting, energetic, and are known to inspire creativity. Many chose Emerald Jack for daytime use and its ability to maintain productivity and a clear head.","An alien figure rides triumphantly on a futuristic vehicle, holding a wand that emits a vivid, green, earthy-pine zest. Spectators from various alien species cheer, celebrating the figure's victory and achievements.","This card symbolizes success and public recognition, mirroring the uplifting and energetic effects of the Emerald Jack strain. It represents achieving goals with clarity and productivity, celebrated by peers.", 
seven of wands,Sweet-Nina,"Sweet Nina by Colorado Seed Inc. is a hybrid cross of Hindu Kush and Nina Limone. Nina Limone (another CO Seed Inc. cut) offers a bright citrus flavor and aroma while imbuing the consumer with a keen mental alertness. This mental energy finds a counterbalance in Hindu Kush, which offers soothing body effects that mellow the consumer into a state of physical relaxation. Sweet Nina is ideal for patients seeking relief from nausea, physical discomfort, and stress.  ","An alien stands on a rugged terrain, defending against challengers with a wand that glows with a bright citrus light. The stance is one of readiness and resilience, embodying a calm yet alert demeanor.","Representing protection of one's achievements and standing one’s ground, this card is influenced by Sweet Nina’s balance of mental alertness and physical relaxation. It suggests overcoming challenges through perseverance and preparedness.", 
eight of wands,Jahwaiian,"Jahwaiian by Pua Mana 1st Hawaiian Pakalōlō Seed Bank is a tropical mashup of two legendary strains. By combining Lamb’s Bread genetics sourced directly from Nine Mile, St. Anne’s, Jamaica, and the “Sweet Lady of Waiāhole” (AKA Hawai’i ‘78), Pua Mana crafted an uplifting strain that harnesses the tropical vibes and aromas distinct to the Hawaiian and Caribbean coastlines. Jahwaiian’s effects are stimulating, delivering plenty of energy to the body. Also anticipate a manageable headiness that encourages self-reflection. This strain may help curb depression and fatigue while encouraging physical activity.","Eight glowing wands fly through the air in a dynamic, upward trajectory over a lush, tropical landscape. This scene is vibrant, filled with energy and a sense of rapid movement, capturing the stimulating essence of the Jahwaiian strain.","This card typically signifies swift action and quick developments. Inspired by Jahwaiian’s energetic and uplifting effects, it suggests rapid progress and the swift unfolding of events, encouraging physical and mental activity.", 
nine of wands,Elmers-Glue,"Elmer’s Glue by Relentless Genetics is an embellishment of the potent and famous Gorilla Glue #4. This strain is a cross of Gorilla Glue #4 and The White, and it is considered by some to be an improvement on GG4’s flavor and trichome production. Elmer’s Glue retains the sharp pine, astringent, and fuel aromas of its dominant parent while expressing more subtle sweet, earthy notes on the exhale. Beyond this strain’s incredible trichome coverage, the height, yield, and flowering time are relatively average. ","An alien, looking wary but unyielding, stands behind a barricade made of nine wands, each covered in sparkling trichomes resembling the resinous nature of Elmer’s Glue. The atmosphere is tense yet expectant.","This card denotes resilience, persistence, and preparedness for any upcoming challenges, paralleling the potent and enduring effects of Elmer’s Glue. It signifies standing firm despite fatigue, ready to face the final challenge.",lets be careful not to turn this into a cum card
